"","aou","statebcr","meanabund","centroid_diff"
"2663",7030,82026,15.5681818181818,54.0924685840464
"2664",7030,82027,31.5268292682927,3.4109719972038
"2665",7030,82028,19.2706333973129,13.4501583956619
"2666",7030,83018,22.4695817490494,22.1982109699442
"2667",7030,83019,57.5852534562212,40.9140821938977
"2668",7030,83020,63.0963855421687,37.097144235264
"2669",7030,83021,61.3282392026578,14.8594909604036
"2670",7030,83025,36.2356215213358,5.25973579575061
"2671",7030,83035,65.0428571428571,23.6943764511435
"2672",7030,83036,89.7743190661479,40.659582258447
"2673",7030,83037,48.3875,24.5485186999254
"2674",7030,85009,4.82666666666667,7.11166975459801
"2675",7030,85010,1,47.7149258695039
"2676",7030,85016,7.27100840336134,7.75524502334845
"2677",7030,87013,2.1,31.5203232670269
"2678",7030,87014,1.3125,4.36408698457816
"2679",7030,88027,18.5652173913043,14.0120441891573
"2680",7030,88028,12.2330677290837,16.0509125333429
"2681",7030,88029,22.32,6.75335244087806
"2682",7030,88030,26.9205298013245,30.4356213427558
"2683",7030,89009,1,9.99662461195755
"2684",7030,90028,7.4,29.2858914012247
"2685",7030,91012,1,127.618138679916
"2686",7030,91023,1,4.20987384962223
"2687",7030,92010,1.125,9.32361442839343
"2688",7030,92016,1,56.6617915065547
"2689",7030,92017,1.16666666666667,21.7571832486883
"2690",7030,92018,2.21428571428571,16.642995615083
"2691",7070,6016,1.2,36.1266414942159
"2692",7070,6033,12.7961538461538,30.2487077241455
"2693",7070,6034,4.88755020080321,39.1388045150619
"2694",7070,17016,1,4.36265408027678
"2695",7070,17018,1.74468085106383,13.6095077075976
"2696",7070,38018,1,16.9999028766111
"2697",7070,38019,2.2,27.2534171365424
"2698",7070,55009,1,12.4274444185888
"2699",7070,60016,3.30120481927711,17.2292279546725
"2700",7070,60018,2.7719298245614,8.8915155962201
"2701",7070,60034,2.14285714285714,57.1510193187911
"2702",7070,60035,2.05691056910569,41.7053564235071
"2703",7070,67018,2.33333333333333,11.0174894758849
"2704",7070,83018,2.56284153005464,22.1982109699442
"2705",7070,83019,2.64646464646465,40.9140821938977
"2706",7070,83020,1.93023255813953,37.097144235264
"2707",7070,83021,4.152,14.8594909604036
"2708",7070,83035,3.42261904761905,23.6943764511435
"2709",7070,83036,6.41387024608501,40.659582258447
"2710",7070,83037,2.19117647058824,24.5485186999254
"2711",7130,6016,2.82352941176471,36.1266414942159
"2712",7130,6033,23.0546318289786,30.2487077241455
"2713",7130,6034,17.5473684210526,39.1388045150619
"2714",7130,14032,2.91358024691358,11.828668407773
"2715",7130,14033,12.4726368159204,30.2458430821019
"2716",7130,55009,7.24324324324324,12.4274444185888
"2717",7130,55033,4.04651162790698,32.454596295297
"2718",7130,60016,4.73913043478261,17.2292279546725
"2719",7130,60018,4.125,8.8915155962201
"2720",7130,60034,1.86666666666667,57.1510193187911
"2721",7130,60035,10.2613636363636,41.7053564235071
"2722",7130,83018,11.9732142857143,22.1982109699442
"2723",7130,83019,3.8125,40.9140821938977
"2724",7130,83020,4.72988505747126,37.097144235264
"2725",7130,83021,6.32867132867133,14.8594909604036
"2726",7130,83035,19.1107011070111,23.6943764511435
"2727",7130,83036,20.0961098398169,40.659582258447
"2728",7130,83037,1.90322580645161,24.5485186999254
"2729",7130,85016,2,7.75524502334845
"2730",7170,6016,1.35294117647059,36.1266414942159
"2731",7170,6033,1.91666666666667,30.2487077241455
"2732",7170,6034,2.13966480446927,39.1388045150619
"2733",7170,11009,1.625,52.0132954367132
"2734",7170,14005,1.57692307692308,17.8782110595467
"2735",7170,14009,1.73451327433628,54.8775987799078
"2736",7170,14015,2.61870503597122,37.3571697510081
"2737",7170,14032,1.89019607843137,11.828668407773
"2738",7170,14033,1.21739130434783,30.2458430821019
"2739",7170,17016,1.46268656716418,4.36265408027678
"2740",7170,17018,1.44444444444444,13.6095077075976
"2741",7170,33009,1.4,48.7083948112994
"2742",7170,33010,4.71428571428571,45.6902577287303
"2743",7170,53010,3,42.3075031323236
"2744",7170,55009,1.54166666666667,12.4274444185888
"2745",7170,60016,1.27586206896552,17.2292279546725
"2746",7170,60018,1.78181818181818,8.8915155962201
"2747",7170,60034,1.95555555555556,57.1510193187911
"2748",7170,60035,3.17021276595745,41.7053564235071
"2749",7170,67019,1.44444444444444,18.5901152599162
"2750",7170,69005,1,8.26569505935161
"2751",7170,69009,1.7625,19.9495759984228
"2752",7170,69010,1.5,14.8916889997728
"2753",7170,81017,1.6551724137931,43.1214602894401
"2754",7170,83019,1.22222222222222,40.9140821938977
"2755",7170,83020,2.19083969465649,37.097144235264
"2756",7170,83021,1.26666666666667,14.8594909604036
"2757",7170,83035,3.29166666666667,23.6943764511435
"2758",7170,85009,1.6,7.11166975459801
"2759",7170,85010,1,47.7149258695039
"2760",7170,85016,3.36969696969697,7.75524502334845
"2761",7170,89005,1,5.81801159748144
"2762",7170,89009,1.76363636363636,9.99662461195755
"2763",7170,89010,1.2,6.6275887838085
"2764",7170,92010,5.46341463414634,9.32361442839343
"2765",7170,92017,1.66666666666667,21.7571832486883
"2766",7180,2024,17.3353658536585,29.3646272846645
"2767",7180,2027,19.2490952955368,1.3135339240972
"2768",7180,2028,14.6196513470681,13.086815890023
"2769",7180,2029,17.6527777777778,10.7409026199713
"2770",7180,7024,10.3394833948339,3.09616837753351
"2771",7180,7025,16.4006359300477,11.6410423934859
"2772",7180,7026,12.4830287206266,6.59558779913199
"2773",7180,18014,2.1,26.6138303040691
"2774",7180,18030,4.7741935483871,9.58373497808971
"2775",7180,21030,14.213698630137,6.79884458701626
"2776",7180,25027,41.7804347826087,14.9227441642535
"2777",7180,25031,21.6500383729854,8.2079039319924
"2778",7180,27027,26.6567862714509,6.29538761542314
"2779",7180,27028,20.2212389380531,4.56998052977691
"2780",7180,27029,21.2550860719875,14.2191948149757
"2781",7180,34022,3.96283783783784,5.22161191583665
"2782",7180,34024,12.6432584269663,21.6863000283277
"2783",7180,35022,2.46964856230032,3.39870316549845
"2784",7180,35023,1.73333333333333,10.5919803703295
"2785",7180,35024,8.97244094488189,2.63066665747113
"2786",7180,36022,1.11111111111111,14.3814621048881
"2787",7180,38019,3.2483660130719,27.2534171365424
"2788",7180,38022,4.01269035532995,7.67496828634136
"2789",7180,39024,11.4127843986999,16.7324744215015
"2790",7180,39026,14.8787878787879,13.3326108448347
"2791",7180,39027,4.31707317073171,18.4033002776717
"2792",7180,39028,25.6380952380952,35.8721127731194
"2793",7180,42025,24.0431778929188,8.73205959868145
"2794",7180,42026,35.1186770428016,25.2331136276612
"2795",7180,42027,38.4855072463768,12.6183362414245
"2796",7180,42037,14.9532710280374,87.4168232110984
"2797",7180,44014,1.2,45.1222426407012
"2798",7180,44030,1.6,33.4235748190677
"2799",7180,46028,8.2760736196319,0.995609395966959
"2800",7180,46029,10.6622296173045,8.35573157160897
"2801",7180,46030,17.1635944700461,1.9265538571226
"2802",7180,47014,1,15.6881105318129
"2803",7180,47030,6.20967741935484,8.0707648613956
"2804",7180,49012,1,28.3018211319057
"2805",7180,49023,1.3125,20.9838179839715
"2806",7180,51026,14.3082706766917,44.2772158344165
"2807",7180,51027,18.1306532663317,24.2152254348918
"2808",7180,52022,4.42416452442159,7.72539720227349
"2809",7180,52024,8.15896739130435,12.3233384415969
"2810",7180,52026,10.8552631578947,53.3223218292221
"2811",7180,54011,2,26.3241735681524
"2812",7180,54019,1,23.1085814517674
"2813",7180,54022,1.33333333333333,13.403720565602
"2814",7180,58014,1.38461538461538,8.30215656304818
"2815",7180,58030,1.41176470588235,18.1430765282059
"2816",7180,59028,4.1294964028777,2.44154807100852
"2817",7180,59029,5.12087912087912,21.4029972414673
"2818",7180,59030,7.03975535168196,4.12669898589741
"2819",7180,61013,1.82738095238095,33.9366168069493
"2820",7180,61014,1,4.49385006319321
"2821",7180,61028,1.5531914893617,13.9869212814497
"2822",7180,61030,5.1123595505618,9.96375133931872
"2823",7180,63027,34.327374301676,13.4698799977441
"2824",7180,63028,14.8608058608059,18.6151242610516
"2825",7180,63029,24.8555377207063,22.9727377443371
"2826",7180,66013,2.32704402515723,9.89893919285732
"2827",7180,66022,4.4330900243309,2.13871598846584
"2828",7180,66023,1.2,27.2489750471593
"2829",7180,66024,16.4090909090909,57.9470808010538
"2830",7180,66028,9.37007874015748,1.40778267970924
"2831",7180,67019,3.7710843373494,18.5901152599162
"2832",7180,67021,9.20136518771331,11.7493488321242
"2833",7180,67022,3.35514018691589,29.3658245763316
"2834",7180,67024,12.375,12.6885381657418
"2835",7180,67025,12.3198380566802,11.1462904856295
"2836",7180,68013,1.66666666666667,177.808743886413
"2837",7180,72013,1.92452830188679,6.00290181900663
"2838",7180,72028,4.1323731138546,8.48303979627978
"2839",7180,72029,7.67484662576687,11.5309517561373
"2840",7180,76014,1,40.6681987016498
"2841",7180,77030,4.21212121212121,0.762521906160648
"2842",7180,80027,30.0874524714829,6.9787947851678
"2843",7180,80028,26.125,5.20502704622225
"2844",7180,80029,24.3177257525084,27.3214620951962
"2845",7180,82024,16.5841121495327,9.78440723515618
"2846",7180,82026,13.3255813953488,54.0924685840464
"2847",7180,82027,11.8346253229974,3.4109719972038
"2848",7180,82028,19.3824,13.4501583956619
"2849",7180,83019,1.63636363636364,40.9140821938977
"2850",7180,83020,6.52577319587629,37.097144235264
"2851",7180,83021,9.19245647969052,14.8594909604036
"2852",7180,83025,36.6760828625235,5.25973579575061
"2853",7180,83035,1,23.6943764511435
"2854",7180,83036,1.30434782608696,40.659582258447
"2855",7180,83037,7.56746031746032,24.5485186999254
"2856",7180,87013,1.42857142857143,31.5203232670269
"2857",7180,87014,1,4.36408698457816
"2858",7180,88027,20.0305676855895,14.0120441891573
"2859",7180,88028,11.8167259786477,16.0509125333429
"2860",7180,88029,16.9100145137881,6.75335244087806
