"aou","time.window","centroid_lat","centroid_lon","mean_total_ai"
2890,42,34.8978884382023,-93.6463326684364,5.29797575118081e-05
2890,43,35.6197629193458,-93.6791852303244,4.56098108150363e-05
2890,44,35.5557476379239,-94.5317789040806,4.64298981397047e-05
2890,45,35.8919111326769,-94.6133388859613,4.54572521460425e-05
2890,46,35.8764223428677,-94.5293500893325,5.04562520115409e-05
2890,47,36.0521987098018,-95.2379998282756,5.07514723784466e-05
2890,48,36.1480803768513,-95.9008495879774,4.96650184710404e-05
2930,1,33.2563353829143,-103.169439981849,0.000770364952276606
2930,2,32.8552697648535,-103.6335224906,0.000649551902163649
2930,3,33.4295821224768,-103.967129135215,0.000686532003379092
2930,4,33.1535271808995,-103.845973059705,0.000544185902507129
2930,5,32.9848114234485,-103.837254852667,0.000582468163003878
2930,6,33.477830707806,-103.645122860726,0.00077319786869381
2930,7,33.6313489777763,-103.300898752356,0.00059664953923032
2930,8,33.1723567198967,-103.549346412341,0.000646842134023798
2930,9,33.5769860739929,-103.281336194836,0.000651735721317102
2930,10,33.0224734789734,-103.676307895068,0.000590979799144036
2930,11,33.6679849835287,-103.322114941765,0.000677532281159268
2930,12,33.6783074658787,-103.631111362638,0.000586207961935314
2930,13,33.9272435727528,-103.260738667719,0.000579387692846653
2930,14,33.8906137738353,-103.127680634202,0.000721850593876856
2930,15,33.8278137513762,-103.465901918842,0.000633274070537094
2930,16,34.1490601738581,-103.36643224249,0.000694214382984289
2930,17,33.8739030020188,-103.218996419606,0.000644824794045642
2930,18,33.9437011570331,-103.308497584846,0.000658826070214573
2930,19,33.5592867578035,-103.412240882762,0.000584237538613223
2930,20,33.818282821078,-103.120971718324,0.000668785579791448
2930,21,33.8858158364028,-103.312319641595,0.000540844657801323
2930,22,34.076130969503,-103.31708482862,0.000574305846521862
2930,23,33.5750665113427,-103.599296481217,0.000664252691342719
2930,24,34.1588323195799,-103.512306971915,0.000673933290103232
2930,25,33.5899413799221,-103.629267212723,0.000435663056479411
2930,26,33.9813807959451,-103.733305888463,0.000537149235332713
2930,27,34.1928143951181,-103.495613719403,0.000532070892943049
2930,28,34.100590403155,-103.549109532859,0.000523676111877201
2930,29,34.0512158211213,-103.582405313201,0.000518794722943941
2930,30,33.7683129289079,-103.49837806437,0.000567669152454233
2930,31,34.1029542033498,-103.822590686505,0.000652966288945441
2930,32,34.2503566643776,-103.641761924127,0.000560143998260333
2930,33,34.028158742113,-103.545026311128,0.000568731888921678
2930,34,34.2633906888964,-103.573033105826,0.000675107869850127
2930,35,34.3144114100721,-103.54013466399,0.000683726680132179
2930,36,34.3424307277954,-103.700802605351,0.000690175015487302
2930,37,34.3272186602478,-103.778469453028,0.00067478043938375
2930,38,34.5466985651235,-103.737893543787,0.000873082451243283
2930,39,34.4896979266049,-103.718628309519,0.000808431640696042
2930,40,34.3452626422596,-103.684754266435,0.000645454435989088
